Rk,Player,Age,Team,Pos,G,TS%,FTr,OWS,DWS,WS,Awards,season,is_playoff
134.0,Bob Doll,30.0,BOS,,47.0,0.397,0.329,0.7,0.9,1.6,,1950,False
135.0,Bob Evans,24.0,INO,,47.0,0.324,0.22,-0.8,0.5,-0.3,,1950,False
136.0,Mac Otten,24.0,2TM,,59.0,0.372,0.523,-0.1,0.4,0.3,,1950,False
136.0,Mac Otten,24.0,TRI,,12.0,0.446,0.647,0.2,0.2,0.4,,1950,False
136.0,Mac Otten,24.0,STB,,47.0,0.35,0.488,-0.3,0.2,-0.1,,1950,False
137.0,Jack Smiley,27.0,2TM,,59.0,0.367,0.552,0.1,0.1,0.2,,1950,False
137.0,Jack Smiley,27.0,AND,,12.0,0.198,0.48,-0.7,0.6,-0.2,,1950,False
137.0,Jack Smiley,27.0,WAT,,47.0,0.393,0.564,0.8,-0.5,0.4,,1950,False
138.0,Joe Bradley,21.0,CHS,,46.0,0.289,0.284,-1.0,0.7,-0.3,,1950,False
139.0,Don Otten,28.0,2TM,C,64.0,0.484,0.715,6.7,1.8,8.5,,1950,False
139.0,Don Otten,28.0,TRI,C,46.0,0.472,0.698,4.0,1.3,5.2,,1950,False
139.0,Don Otten,28.0,WSC,C,18.0,0.513,0.751,2.8,0.5,3.3,,1950,False
140.0,Harry Donovan,23.0,NYK,,45.0,0.393,0.385,0.3,0.7,1.0,,1950,False
141.0,Dee Gibson,26.0,TRI,,44.0,0.435,0.722,1.7,1.0,2.7,,1950,False
142.0,Bill Henry,25.0,2TM,,63.0,0.416,0.633,1.0,1.5,2.5,,1950,False
142.0,Bill Henry,25.0,FTW,,44.0,0.405,0.598,0.6,1.3,1.9,,1950,False
142.0,Bill Henry,25.0,TRI,,19.0,0.448,0.739,0.4,0.2,0.6,,1950,False
143.0,Ed Mikan,24.0,2TM,C,65.0,0.361,0.374,-0.6,1.4,0.8,,1950,False
143.0,Ed Mikan,24.0,CHS,C,21.0,0.351,0.457,-0.4,0.6,0.2,,1950,False
143.0,Ed Mikan,24.0,ROC,C,44.0,0.368,0.32,-0.2,0.8,0.6,,1950,False
144.0,Carl Shaeffer,25.0,INO,,43.0,0.405,0.356,0.4,0.4,0.8,,1950,False
145.0,Billy Hassett,28.0,2TM,,60.0,0.365,0.533,0.0,1.8,1.8,,1950,False
145.0,Billy Hassett,28.0,TRI,,18.0,0.406,0.599,0.6,0.5,1.1,,1950,False
145.0,Billy Hassett,28.0,MNL,,42.0,0.318,0.462,-0.6,1.3,0.7,,1950,False
146.0,Bob Royer,22.0,DNN,,42.0,0.384,0.251,0.3,-0.3,0.0,,1950,False
147.0,Ernie Vandeweghe,21.0,NYK,,42.0,0.466,0.359,3.0,0.9,3.9,,1950,False
148.0,Al Guokas,24.0,2TM,,57.0,0.333,0.167,-0.9,-0.1,-1.0,,1950,False
148.0,Al Guokas,24.0,DNN,,41.0,0.338,0.173,-0.7,-0.4,-1.1,,1950,False
148.0,Al Guokas,24.0,PHW,,16.0,0.29,0.107,-0.2,0.3,0.1,,1950,False
149.0,Johnny Norlander,28.0,WSC,,40.0,0.38,0.29,-0.1,0.7,0.6,,1950,False
150.0,Jack Phelan,24.0,2TM,,55.0,0.367,0.336,-0.3,-0.3,-0.5,,1950,False
150.0,Jack Phelan,24.0,WAT,,15.0,0.383,0.348,0.0,-0.1,-0.1,,1950,False
150.0,Jack Phelan,24.0,SHE,,40.0,0.362,0.332,-0.3,-0.1,-0.4,,1950,False
151.0,Marshall Hawkins,25.0,INO,,39.0,0.343,0.313,-0.5,0.4,-0.1,,1950,False
152.0,Johnny Ezersky,27.0,2TM,,54.0,0.364,0.376,-0.7,1.1,0.5,,1950,False
152.0,Johnny Ezersky,27.0,BLB,,38.0,0.374,0.376,-0.2,0.8,0.7,,1950,False
152.0,Johnny Ezersky,27.0,BOS,,16.0,0.338,0.375,-0.5,0.3,-0.2,,1950,False
153.0,Ron Livingstone,24.0,2TM,,54.0,0.341,0.306,-1.8,3.2,1.4,,1950,False
153.0,Ron Livingstone,24.0,BLB,,16.0,0.348,0.451,-0.3,0.4,0.1,,1950,False
153.0,Ron Livingstone,24.0,PHW,,38.0,0.339,0.275,-1.5,2.9,1.3,,1950,False
154.0,Buddy Jeannette,32.0,BLB,,37.0,0.467,0.899,1.9,0.7,2.6,,1950,False
155.0,Joe Mullaney,25.0,BOS,,37.0,0.196,0.214,-0.9,0.3,-0.6,,1950,False
156.0,Dermie O'Connell,21.0,2TM,,61.0,0.29,0.209,-3.2,0.7,-2.5,,1950,False
156.0,Dermie O'Connell,21.0,BOS,,37.0,0.294,0.211,-1.9,0.6,-1.3,,1950,False
156.0,Dermie O'Connell,21.0,STB,,24.0,0.281,0.207,-1.3,0.1,-1.2,,1950,False
157.0,Floyd Volker,28.0,2TM,,54.0,0.34,0.245,-1.6,-0.4,-2.0,,1950,False
157.0,Floyd Volker,28.0,INO,,17.0,0.337,0.34,-0.2,0.1,-0.1,,1950,False
157.0,Floyd Volker,28.0,DNN,,37.0,0.34,0.234,-1.4,-0.5,-1.9,,1950,False
158.0,D.C. Wilcutt,26.0,STB,,37.0,0.421,0.575,0.5,0.1,0.6,,1950,False
159.0,Charlie Black,28.0,2TM,,65.0,0.346,0.395,-2.2,5.0,2.8,,1950,False
159.0,Charlie Black,28.0,FTW,,36.0,0.362,0.48,-0.7,2.2,1.5,,1950,False
159.0,Charlie Black,28.0,AND,,29.0,0.326,0.296,-1.5,2.8,1.3,,1950,False
160.0,John Mahnken,27.0,3TM,C,62.0,0.313,0.232,-2.6,1.6,-1.0,,1950,False
160.0,John Mahnken,27.0,FTW,C,2.0,0.376,0.375,0.0,0.1,0.1,,1950,False
160.0,John Mahnken,27.0,TRI,C,36.0,0.316,0.238,-1.6,1.0,-0.6,,1950,False
160.0,John Mahnken,27.0,BOS,C,24.0,0.302,0.214,-1.0,0.5,-0.5,,1950,False
161.0,George Nostrand,26.0,3TM,,55.0,0.355,0.388,-0.7,1.1,0.4,,1950,False
161.0,George Nostrand,26.0,BOS,,18.0,0.37,0.492,-0.1,0.3,0.2,,1950,False
161.0,George Nostrand,26.0,TRI,,1.0,0.492,0.5,0.1,0.0,0.1,,1950,False
161.0,George Nostrand,26.0,CHS,,36.0,0.328,0.28,-0.6,0.7,0.1,,1950,False
162.0,Bud Grant,22.0,MNL,,35.0,0.371,0.148,-0.1,0.6,0.5,,1950,False
163.0,Ralph Johnson,28.0,2TM,PG,67.0,0.353,0.166,-1.5,4.5,2.9,,1950,False
163.0,Ralph Johnson,28.0,AND,PG,35.0,0.364,0.195,-0.4,2.8,2.4,,1950,False
163.0,Ralph Johnson,28.0,FTW,PG,32.0,0.339,0.13,-1.2,1.7,0.5,,1950,False
164.0,Red Owens,24.0,2TM,SG,61.0,0.361,0.351,-0.3,2.0,1.7,,1950,False
164.0,Red Owens,24.0,TRI,SG,26.0,0.38,0.431,0.0,0.5,0.5,,1950,False
164.0,Red Owens,24.0,AND,SG,35.0,0.342,0.278,-0.4,1.6,1.2,,1950,False
165.0,Johnny Payak,23.0,2TM,SG,52.0,0.389,0.523,0.5,-0.1,0.4,,1950,False
165.0,Johnny Payak,23.0,PHW,SG,17.0,0.449,0.656,0.2,0.2,0.5,,1950,False
165.0,Johnny Payak,23.0,WAT,SG,35.0,0.383,0.508,0.2,-0.3,-0.1,,1950,False
166.0,Howie Schultz,27.0,2TM,PF,67.0,0.348,0.42,-1.6,4.6,3.0,,1950,False
166.0,Howie Schultz,27.0,AND,PF,35.0,0.366,0.506,-0.2,2.6,2.5,,1950,False
166.0,Howie Schultz,27.0,FTW,PF,32.0,0.332,0.344,-1.4,2.0,0.5,,1950,False
167.0,Gene Vance,26.0,TRI,,35.0,0.405,0.369,1.0,1.2,2.2,,1950,False
168.0,Stan Patrick,27.0,2TM,,53.0,0.447,0.5,1.9,-0.2,1.6,,1950,False
168.0,Stan Patrick,27.0,WAT,,34.0,0.486,0.578,1.9,-0.2,1.7,,1950,False
168.0,Stan Patrick,27.0,SHE,,19.0,0.375,0.364,0.0,-0.1,-0.1,,1950,False
169.0,Marv Schatzman,22.0,BLB,,34.0,0.293,0.287,-1.3,0.4,-0.9,,1950,False
170.0,Rollie Seltz,26.0,AND,,34.0,0.375,0.337,0.0,1.8,1.8,,1950,False
171.0,Duane Klueh,24.0,2TM,,52.0,0.464,0.536,3.4,0.3,3.7,,1950,False
171.0,Duane Klueh,24.0,DNN,,33.0,0.448,0.507,1.9,-0.3,1.6,,1950,False
171.0,Duane Klueh,24.0,FTW,,19.0,0.506,0.616,1.4,0.6,2.1,,1950,False
172.0,Whitey Von Nieda,27.0,2TM,,59.0,0.405,0.342,1.1,1.2,2.3,,1950,False
172.0,Whitey Von Nieda,27.0,TRI,,26.0,0.4,0.397,0.3,0.4,0.6,,1950,False
172.0,Whitey Von Nieda,27.0,BLB,,33.0,0.407,0.314,0.9,0.8,1.7,,1950,False
173.0,Walt Kirk,25.0,2TM,PG,58.0,0.383,0.598,0.3,2.0,2.3,,1950,False
173.0,Walt Kirk,25.0,AND,PG,26.0,0.368,0.664,0.0,1.3,1.3,,1950,False
173.0,Walt Kirk,25.0,TRI,PG,32.0,0.39,0.564,0.3,0.7,1.1,,1950,False
174.0,Jim Browne,20.0,DNN,,31.0,0.392,0.563,0.1,-0.1,0.0,,1950,False
175.0,Richie Niemiera,28.0,2TM,,60.0,0.394,0.397,0.7,2.1,2.7,,1950,False
