Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,FTr,TRB%,AST%,OWS,DWS,WS,WS/48,Awards,season,is_playoff
125.0,Bingo Smith,26.0,CLE,SG,73.0,,1068.0,16.3,0.47,0.134,9.0,16.5,0.4,1.3,1.6,0.074,,1973,False
126.0,Lee Winfield,25.0,SEA,PG,53.0,,1061.0,12.2,0.458,0.325,5.6,23.8,0.1,0.4,0.5,0.024,,1973,False
127.0,Joe Ellis,28.0,GSW,PF,74.0,,1054.0,13.2,0.442,0.191,12.2,11.1,-0.5,1.6,1.1,0.051,,1973,False
128.0,Steve Bracey,22.0,ATL,PG,70.0,,1050.0,12.7,0.515,0.278,4.9,15.9,1.4,0.7,2.1,0.097,,1973,False
129.0,Mickey Davis,22.0,MIL,SF,74.0,,1046.0,12.2,0.49,0.265,10.5,8.5,0.7,1.6,2.3,0.106,,1973,False
130.0,Ron Williams,28.0,GSW,PG,73.0,,1016.0,12.2,0.488,0.203,3.6,14.7,0.8,1.1,1.9,0.088,,1973,False
131.0,LaRue Martin,22.0,POR,C,77.0,,996.0,10.5,0.425,0.21,17.4,5.5,-0.8,0.4,-0.4,-0.019,,1973,False
132.0,Stan Love,23.0,BAL,PF,72.0,,995.0,14.0,0.478,0.229,14.1,6.3,0.5,1.6,2.1,0.101,,1973,False
133.0,Mo Layton,24.0,PHO,SG,65.0,,990.0,12.5,0.477,0.274,3.8,19.4,0.6,0.5,1.0,0.05,,1973,False
134.0,Art Williams,33.0,BOS,PG,81.0,,974.0,13.2,0.46,0.215,8.4,28.4,0.2,2.6,2.8,0.138,,1973,False
135.0,Terry Dischinger,32.0,POR,SF,63.0,,970.0,13.1,0.508,0.284,9.5,14.3,1.1,0.3,1.4,0.069,,1973,False
136.0,Terry Driscoll,25.0,2TM,C,60.0,,964.0,11.6,0.456,0.19,15.1,7.1,-0.1,1.8,1.7,0.084,,1973,False
136.0,Terry Driscoll,25.0,BAL,PF,1.0,,5.0,1.9,0.0,0.0,28.1,0.0,0.0,0.0,0.0,-0.147,,1973,False
136.0,Terry Driscoll,25.0,MIL,C,59.0,,959.0,11.7,0.457,0.19,15.0,7.1,-0.1,1.8,1.7,0.085,,1973,False
137.0,Kevin Loughery,32.0,PHI,SG,32.0,21.0,955.0,13.9,0.46,0.304,5.3,22.1,0.1,0.5,0.6,0.031,,1973,False
138.0,Happy Hairston,30.0,LAL,PF,28.0,,939.0,20.0,0.561,0.543,18.0,9.3,2.4,1.8,4.2,0.214,,1973,False
139.0,Joby Wright,22.0,SEA,PF,77.0,,931.0,9.2,0.478,0.32,11.1,5.3,0.3,0.3,0.6,0.033,,1973,False
140.0,Don May,27.0,2TM,SF,58.0,0.0,919.0,14.1,0.487,0.219,10.4,10.1,0.7,0.6,1.3,0.067,,1973,False
140.0,Don May,27.0,ATL,SF,32.0,,317.0,12.0,0.488,0.231,10.1,8.9,0.2,0.2,0.5,0.071,,1973,False
140.0,Don May,27.0,PHI,SF,26.0,0.0,602.0,15.2,0.487,0.214,10.6,10.7,0.5,0.3,0.8,0.065,,1973,False
141.0,Zaid Abdul-Aziz,26.0,HOU,C,48.0,,900.0,14.5,0.467,0.432,15.8,7.4,0.2,0.8,1.0,0.051,,1973,False
142.0,John Trapp,27.0,2TM,SF,44.0,11.0,889.0,12.3,0.456,0.29,10.0,8.0,-0.1,0.5,0.4,0.021,,1973,False
142.0,John Trapp,27.0,LAL,SF,5.0,,35.0,9.5,0.396,0.833,18.2,6.6,-0.1,0.1,0.0,0.009,,1973,False
142.0,John Trapp,27.0,PHI,SF,39.0,11.0,854.0,12.4,0.458,0.275,9.7,8.1,0.0,0.4,0.4,0.021,,1973,False
143.0,Charles Johnson,23.0,GSW,SG,70.0,,887.0,12.5,0.446,0.115,6.8,17.8,-0.3,1.2,0.9,0.05,,1973,False
144.0,Hal Greer,36.0,PHI,PG,38.0,17.0,848.0,8.9,0.429,0.168,5.6,16.9,-0.3,0.4,0.1,0.005,,1973,False
145.0,Jim Price,23.0,LAL,PG,59.0,,828.0,12.7,0.481,0.203,6.3,15.5,0.5,1.0,1.5,0.088,ROY-4,1973,False
146.0,Pat Riley,27.0,LAL,SG,55.0,,801.0,11.3,0.468,0.21,3.7,13.7,0.2,0.8,1.0,0.06,,1973,False
147.0,Jeff Halliburton,23.0,2TM,SG,55.0,0.0,787.0,14.5,0.477,0.222,6.2,18.1,0.5,0.4,0.9,0.056,,1973,False
147.0,Jeff Halliburton,23.0,ATL,SG,24.0,,238.0,13.4,0.481,0.19,5.2,16.3,0.2,0.2,0.3,0.065,,1973,False
147.0,Jeff Halliburton,23.0,PHI,SG,31.0,0.0,549.0,15.0,0.476,0.236,6.7,18.8,0.3,0.3,0.6,0.052,,1973,False
