Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP,season,is_playoff
21,Jeff Cook,PF,25,PHO,7,45,13.0,0.5,0.0,0.0,14.0,7.6,10.9,17.8,2.1,2.4,20.0,8.7,,0.1,0.0,0.1,0.071,,0.3,1.5,1.8,0.0,1982,True
22,Michael Cooper*,SG,25,LAL,14,383,17.4,0.597,0.016,0.274,5.6,11.0,8.4,20.2,2.9,1.5,17.3,17.2,,0.7,0.5,1.2,0.152,,2.9,1.9,4.8,0.7,1982,True
23,Dave Corzine,C,25,SAS,9,258,16.1,0.504,0.0,0.321,14.7,20.0,17.2,9.3,1.1,1.9,14.2,21.5,,0.2,0.2,0.4,0.08,,0.4,-0.7,-0.3,0.1,1982,True
24,Pat Cummings,PF,25,MIL,6,44,4.0,0.379,0.0,0.182,7.9,25.8,16.0,6.4,0.0,2.8,25.2,15.3,,-0.1,0.0,-0.1,-0.094,,-6.2,-1.0,-7.3,-0.1,1982,True
25,Earl Cureton,PF,24,PHI,12,75,8.5,0.356,0.024,0.22,18.6,20.3,19.5,3.8,0.7,0.8,10.0,27.9,,-0.2,0.1,-0.1,-0.046,,-4.7,-5.4,-10.1,-0.2,1982,True
26,Charles Davis,SF,23,WSB,6,52,3.2,0.447,0.059,0.118,2.1,8.9,5.4,9.1,1.0,1.1,28.1,20.0,,-0.2,0.1,-0.1,-0.095,,-5.0,-0.7,-5.7,0.0,1982,True
27,Walter Davis*,SF,27,PHO,7,173,20.0,0.502,0.026,0.207,3.0,11.2,6.9,26.1,1.3,0.3,8.7,31.5,,0.3,0.0,0.3,0.086,,1.2,-1.6,-0.4,0.1,1982,True
28,Darryl Dawkins,C,25,PHI,21,460,14.3,0.578,0.0,0.281,5.8,17.7,12.0,3.7,0.7,4.4,16.0,21.7,,0.3,0.6,0.9,0.09,,-1.6,0.4,-1.2,0.1,1982,True
29,James Donaldson,C,24,SEA,8,189,13.8,0.504,0.0,0.558,14.1,26.5,20.4,5.3,0.5,1.5,15.7,14.2,,0.2,0.4,0.5,0.132,,0.2,-1.3,-1.0,0.0,1982,True
30,John Drew,SF,27,ATL,2,59,5.4,0.422,0.0,0.545,12.1,9.9,11.1,3.5,0.0,0.0,15.5,25.7,,-0.1,0.0,-0.1,-0.102,,-5.6,-3.3,-8.9,-0.1,1982,True
