team,season,reached_playoffs,reached_conf_finals,champion
DEN,2006,1,0,0
PHO,2006,1,1,0
WAS,2006,1,0,0
MEM,2006,1,0,0
IND,2006,1,0,0
CHI,2006,1,0,0
MIA,2007,1,0,0
SAS,2007,1,1,1
DAL,2007,1,0,0
ORL,2007,1,0,0
GSW,2007,1,0,0
NJN,2007,1,0,0
LAL,2007,1,0,0
DET,2007,1,1,0
CLE,2007,1,1,0
PHO,2007,1,0,0
DEN,2007,1,0,0
WAS,2007,1,0,0
HOU,2007,1,0,0
TOR,2007,1,0,0
CHI,2007,1,0,0
UTA,2007,1,1,0
SAS,2008,1,1,0
DAL,2008,1,0,0
ORL,2008,1,0,0
ATL,2008,1,0,0
LAL,2008,1,1,0
DET,2008,1,1,0
CLE,2008,1,0,0
BOS,2008,1,1,1
DEN,2008,1,0,0
PHO,2008,1,0,0
HOU,2008,1,0,0
WAS,2008,1,0,0
NOH,2008,1,0,0
TOR,2008,1,0,0
PHI,2008,1,0,0
UTA,2008,1,0,0
MIA,2009,1,0,0
SAS,2009,1,0,0
DAL,2009,1,0,0
POR,2009,1,0,0
ATL,2009,1,0,0
LAL,2009,1,1,1
PHI,2009,1,0,0
DET,2009,1,0,0
CLE,2009,1,1,0
BOS,2009,1,0,0
DEN,2009,1,1,0
HOU,2009,1,0,0
NOH,2009,1,0,0
ORL,2009,1,1,0
CHI,2009,1,0,0
UTA,2009,1,0,0
MIL,2010,1,0,0
MIA,2010,1,0,0
SAS,2010,1,0,0
DAL,2010,1,0,0
POR,2010,1,0,0
OKC,2010,1,0,0
ATL,2010,1,0,0
LAL,2010,1,1,1
CLE,2010,1,0,0
BOS,2010,1,1,0
PHO,2010,1,1,0
CHA,2010,1,0,0
DEN,2010,1,0,0
ORL,2010,1,1,0
CHI,2010,1,0,0
UTA,2010,1,0,0
IND,2011,1,0,0
MIA,2011,1,1,0
SAS,2011,1,0,0
DAL,2011,1,1,1
POR,2011,1,0,0
OKC,2011,1,1,0
ATL,2011,1,0,0
LAL,2011,1,0,0
PHI,2011,1,0,0
BOS,2011,1,0,0
DEN,2011,1,0,0
NYK,2011,1,0,0
MEM,2011,1,0,0
NOH,2011,1,0,0
ORL,2011,1,0,0
CHI,2011,1,1,0
MIA,2012,1,1,1
SAS,2012,1,1,0
DAL,2012,1,0,0
OKC,2012,1,1,0
LAC,2012,1,0,0
ATL,2012,1,0,0
LAL,2012,1,0,0
PHI,2012,1,0,0
BOS,2012,1,1,0
DEN,2012,1,0,0
NYK,2012,1,0,0
MEM,2012,1,0,0
IND,2012,1,0,0
ORL,2012,1,0,0
CHI,2012,1,0,0
UTA,2012,1,0,0
MIL,2013,1,0,0
BRK,2013,1,0,0
SAS,2013,1,1,0
MIA,2013,1,1,1
OKC,2013,1,0,0
LAC,2013,1,0,0
GSW,2013,1,0,0
ATL,2013,1,0,0
LAL,2013,1,0,0
BOS,2013,1,0,0
DEN,2013,1,0,0
NYK,2013,1,0,0
HOU,2013,1,0,0
MEM,2013,1,1,0
IND,2013,1,1,0
CHI,2013,1,0,0
BRK,2014,1,0,0
MIA,2014,1,1,0
SAS,2014,1,1,1
DAL,2014,1,0,0
POR,2014,1,0,0
OKC,2014,1,1,0
LAC,2014,1,0,0
GSW,2014,1,0,0
ATL,2014,1,0,0
CHA,2014,1,0,0
WAS,2014,1,0,0
HOU,2014,1,0,0
MEM,2014,1,0,0
IND,2014,1,1,0
TOR,2014,1,0,0
CHI,2014,1,0,0
MIL,2015,1,0,0
BRK,2015,1,0,0
SAS,2015,1,0,0
DAL,2015,1,0,0
POR,2015,1,0,0
GSW,2015,1,1,1
LAC,2015,1,0,0
ATL,2015,1,1,0
CLE,2015,1,1,0
BOS,2015,1,0,0
WAS,2015,1,0,0
NOP,2015,1,0,0
HOU,2015,1,1,0
MEM,2015,1,0,0
TOR,2015,1,0,0
CHI,2015,1,0,0
MIA,2016,1,0,0
SAS,2016,1,0,0
DAL,2016,1,0,0
POR,2016,1,0,0
GSW,2016,1,1,0
LAC,2016,1,0,0
OKC,2016,1,1,0
ATL,2016,1,0,0
CHO,2016,1,0,0
DET,2016,1,0,0
CLE,2016,1,1,1
BOS,2016,1,0,0
HOU,2016,1,0,0
MEM,2016,1,0,0
IND,2016,1,0,0
TOR,2016,1,1,0
MIL,2017,1,0,0
SAS,2017,1,1,0
POR,2017,1,0,0
GSW,2017,1,1,1
LAC,2017,1,0,0
OKC,2017,1,0,0
ATL,2017,1,0,0
CLE,2017,1,1,0
BOS,2017,1,1,0
WAS,2017,1,0,0
HOU,2017,1,0,0
MEM,2017,1,0,0
IND,2017,1,0,0
TOR,2017,1,0,0
CHI,2017,1,0,0
UTA,2017,1,0,0
MIL,2018,1,0,0
MIA,2018,1,0,0
SAS,2018,1,0,0
POR,2018,1,0,0
GSW,2018,1,1,1
OKC,2018,1,0,0
MIN,2018,1,0,0
CLE,2018,1,1,0
BOS,2018,1,1,0
WAS,2018,1,0,0
NOP,2018,1,0,0
HOU,2018,1,1,0
IND,2018,1,0,0
TOR,2018,1,0,0
PHI,2018,1,0,0
UTA,2018,1,0,0
MIL,2019,1,1,0
BRK,2019,1,0,0
SAS,2019,1,0,0
POR,2019,1,1,0
OKC,2019,1,0,0
LAC,2019,1,0,0
GSW,2019,1,1,0
TOR,2019,1,1,1
DET,2019,1,0,0
BOS,2019,1,0,0
DEN,2019,1,0,0
HOU,2019,1,0,0
IND,2019,1,0,0
ORL,2019,1,0,0
PHI,2019,1,0,0
UTA,2019,1,0,0
MIL,2020,1,0,0
BRK,2020,1,0,0
MIA,2020,1,1,0
DAL,2020,1,0,0
POR,2020,1,0,0
OKC,2020,1,0,0
LAC,2020,1,0,0
TOR,2020,1,0,0
LAL,2020,1,1,1
BOS,2020,1,1,0
DEN,2020,1,1,0
HOU,2020,1,0,0
IND,2020,1,0,0
ORL,2020,1,0,0
PHI,2020,1,0,0
UTA,2020,1,0,0
MIL,2021,1,1,1
BRK,2021,1,0,0
MIA,2021,1,0,0
DAL,2021,1,0,0
POR,2021,1,0,0
LAC,2021,1,1,0
ATL,2021,1,1,0
LAL,2021,1,0,0
BOS,2021,1,0,0
DEN,2021,1,0,0
PHO,2021,1,1,0
WAS,2021,1,0,0
MEM,2021,1,0,0
NYK,2021,1,0,0
PHI,2021,1,0,0
UTA,2021,1,0,0
MIL,2022,1,0,0
BRK,2022,1,0,0
MIA,2022,1,1,0
DAL,2022,1,1,0
GSW,2022,1,1,1
ATL,2022,1,0,0
MIN,2022,1,0,0
PHI,2022,1,0,0
BOS,2022,1,1,0
PHO,2022,1,0,0
DEN,2022,1,0,0
NOP,2022,1,0,0
MEM,2022,1,0,0
TOR,2022,1,0,0
CHI,2022,1,0,0
UTA,2022,1,0,0
MIL,2023,1,0,0
BRK,2023,1,0,0
MIA,2023,1,1,0
GSW,2023,1,0,0
LAC,2023,1,0,0
ATL,2023,1,0,0
MIN,2023,1,0,0
LAL,2023,1,1,0
CLE,2023,1,0,0
BOS,2023,1,1,0
DEN,2023,1,1,1
PHO,2023,1,0,0
SAC,2023,1,0,0
MEM,2023,1,0,0
NYK,2023,1,0,0
PHI,2023,1,0,0
MIL,2024,1,0,0
MIA,2024,1,0,0
DAL,2024,1,1,0
OKC,2024,1,0,0
LAC,2024,1,0,0
MIN,2024,1,1,0
LAL,2024,1,0,0
NYK,2024,1,0,0
CLE,2024,1,0,0
BOS,2024,1,1,1
DEN,2024,1,0,0
PHO,2024,1,0,0
NOP,2024,1,0,0
IND,2024,1,1,0
ORL,2024,1,0,0
PHI,2024,1,0,0
MIL,2025,1,0,0
MIA,2025,1,0,0
OKC,2025,1,1,1
LAC,2025,1,0,0
GSW,2025,1,0,0
MIN,2025,1,1,0
LAL,2025,1,0,0
DET,2025,1,0,0
CLE,2025,1,0,0
BOS,2025,1,0,0
DEN,2025,1,0,0
NYK,2025,1,1,0
HOU,2025,1,0,0
MEM,2025,1,0,0
IND,2025,1,1,0
ORL,2025,1,0,0
